News#,Title Content, match,Score,Polarity
1376,"MASON BEST FORMS ENERGY HOLDING COMPANY",best,1,Positive
1377,"CXR TELCOM CORP &lt;CXRL> 3RD QTR MARCH 31 NET",,0,Neutral
1378,"PROXMIRE OUTLINES INSIDER TRADING LEGISLATION",,0,Neutral
1379,"HELEN OF TROY CORP &lt;HELE> 4TH QTR FEB 28 NET",,0,Neutral
1380,"BANKERS TRUST &lt;BT> PUTS BRAZIL ON NON-ACCRUAL",trust,1,Positive
1381,"&lt;FIRST MERCANTILE CURRENCY FUND INC> 1ST QTR NET",,0,Neutral
1382,"UK INTERVENTION BD SAYS EC SOLD 118,350 TONNES WHITE SUGAR AT REBATE 46.496 ECUS.",,0,Neutral
1383,"STOLTENBERG SEES MOVES TO STRENGTHEN PARIS ACCORD",,0,Neutral
1384,"U.K. INTERVENTION BOARD DETAILS EC SUGAR SALES",,0,Neutral
1385,"FORD EXTENDS INCENTIVE PROGRAM ON LIGHT TRUCKS TO APRIL 30 FROM APRIL SIX",,0,Neutral
1386,"NORANDA TO SELL 150 MLN DLRS IN DEBENTURES",,0,Neutral
1387,"BACHE SECURITIES CANADA BUYS TORONTO EXCHANGE SEAT FOR 301,000 DLRS",,0,Neutral
1388,"MAFINA BOND WITH WARRANTS SET AT 250 MLN SFR",,0,Neutral
1389,"MEAD &lt;MEA> EXPECTS IMPROVED EARNINGS THIS YEAR",improved,1,Positive
1390,"ENDOTRONICS SEEKS TO ESTABLISH 2ND QTR RESERVE",,0,Neutral
1391,"AMERTEK INC &lt;ATEKF> 1ST QTR NET",,0,Neutral
1392,"COMSTOCK GROUP &lt;CSTK> SELLS PREFERRED STOCK",,0,Neutral
1393,"QVC NETWORK &lt;QVCN> CLARIFIES AGREEMENT",agreement,1,Positive
1394,"ALEX BROWN INC &lt;ABSB> 1ST QTR MARCH 27 NET",,0,Neutral
1395,"EQUITABLE RESOURCES &lt;EQT> FILES UNIT OFFERING",equitable,1,Positive
1396,"TOWN AND COUNTRY JEWELRY MANUFACTURING &lt;TCJC>",,0,Neutral
1397,"JOHANNESBURG GOLD SHARES CLOSE MIXED TO FIRMER",gold, firmer,2,Positive
1398,"FEEDER CATTLE FUTURES SET NEW HIGHS, TURN MIXED",,0,Neutral
1399,"CBT CORN SPREADS",,0,Neutral
1400,"TEXAS PANHANDLE/W OKLA FEEDLOT ROUNDUP - USDA",,0,Neutral
1401,"MIDWEST GRAIN FUTURES 11:00 EDT",,0,Neutral
1402,"VOLCKER PUSHES SPENDING CUTS OVER TRADE BILL",,0,Neutral
1403,"MIDWEST GRAIN FUTURES 11:01 EDT",,0,Neutral
1404,"CBT SOYBEAN SPREADS",,0,Neutral
1405,"SIOUX FALLS CATTLE UP 0.50 DLR - USDA",falls,-1,Negative
1406,"CBT SOYBEAN OIL SPREADS",,0,Neutral
1407,"FLASH SIOUX FALLS HOGS UP 1.75 DLR - USDA",falls, hogs,-2,Negative
1408,"CBT SOYBEAN MEAL SPREADS",,0,Neutral
1409,"AMERICAN SPORTS ADVISORS &lt;PIKS> TO LIQUIDATE",,0,Neutral
1410,"N.Y. COFFEE FUTURES SLIGHTLY HIGHER, THIN EARLY",,0,Neutral
1411,"THATCHER FIRM AS PRESSURE MOUNTS FOR ELECTIONS",,0,Neutral
1412,"PORTUGUESE AIRLINE CONFIRMS AIRBUS A310 ORDER",,0,Neutral
1413,"FLASH ST PAUL HOGS UP 1.00/2.00 DLRS - USDA",hogs,-1,Negative
1414,"VOLCKER SAYS RESTRICTIVE MONETARY POLICY WOULD HURT INVESTMENT",restrictive, hurt,-2,Negative
1415,"WORLD SUGAR FUTURES TUMBLE IN EARLY TRADING",tumble,-1,Negative
1416,"GOLD AND SILVER CLOSE OFF HIGHS IN ZURICH",gold,1,Positive
1417,"SWEDEN'S ERICSSON WINS U.S. ORDER",wins,1,Positive
1418,"FLASH OMAHA HOGS UP 1.00 DLR - USDA",hogs,-1,Negative
1419,"CBT WHEAT FUTURES OPEN FIRMER, SET NEW HIGHS",firmer,1,Positive
1420,"DOLLAR CLOSES LITTLE CHANGED IN FRANKFURT",,0,Neutral
1421,"LIVE HOG FUTURES HIGHER EARLY",,0,Neutral
1422,"MIDWEST GRAIN FUTURES 11:10 EDT",,0,Neutral
1423,"HONEYWELL BULL INTRODUCES HIGH PERFORMANCE COMPUTERS FOR MEDIUM, LARGE FIRMS",,0,Neutral
1424,"PORK BELLY FUTURES START HIGHER, THEN EASE",ease,1,Positive
1425,"MISSOURI DIRECT HOGS UP 1.00-1.50 DLR - USDA",hogs,-1,Negative
1426,"VOLCKER SEES TIGHT POLICY HURTING INVESTMENT",hurting,-1,Negative
1427,"REUTERS &lt;RtrSY> UNIT COMPLETES TRADING SYSTEM",,0,Neutral
1428,"LONDON LIFFE D.MARK CLOSE 1614 - APR 7",,0,Neutral
1429,"LONDON LIFFE S.FRANC CLOSE 1616 - APR 7",,0,Neutral
1430,"CBT SOYBEAN FUTURES OPEN SLIGHTLY FIRMER",firmer,1,Positive
1431,"DOLLAR REMAINS IN NARROW RANGE IN QUIET ZURICH",quiet,1,Positive
1432,"ST LOUIS CATTLE STEADY/UP 0.50 DLR - USDA",steady,1,Positive
1433,"LIFFE, AFTER RECORD VOLUMES, SEES MORE GROWTH",,0,Neutral
1434,"NEW BEDFORD INSTITUTION FOR SAVINGS &lt;NBBS> YEAR",savings,1,Positive
1435,"HONEYWELL BULL UNVEILS FIVE NEW COMPUTERS",,0,Neutral
1436,"OXFORD ENERGY CO &lt;OEN> TO BUILD ENRGY PLANT",,0,Neutral
1437,"POLYDEX &lt;POLXF> ANTI-WRINKLE INGREDIENT PATENTED",wrinkle,-1,Negative
1438,"DIGITAL TRANSMISSION &lt;DTINU> OFFERS UNITS",,0,Neutral
1439,"CBT SOYPRODUCT FUTURES HIGHER IN EARLY TRADE",,0,Neutral
1440,"PRESIDENTIAL AIR &lt;PAIR> IN SALE/LEASEBACK",,0,Neutral
1441,"MIDWEST GRAIN FUTURES 11:20 EDT",,0,Neutral
1442,"HIGHWOOD &lt;HIWDF> COMMENTS ON SHARE PRICE RISE",,0,Neutral
1443,"SPOT TIN SLIGHTLY LOWER ON EUROPEAN FREE MARKET",free,1,Positive
1444,"FHLBB CHANGES SHORT-TERM DISCOUNT NOTE RATES",,0,Neutral
1445,"GENERAL ELECTRIC&lt;GE>-POWERED HELICOPTER UNVEILED",,0,Neutral
1446,"REUTER UNIT COMPLETES MERRILL LYNCH TRADING SYSTEM",,0,Neutral
1447,"AFRICAN DEVELOPMENT BANK LOANS ROSE 42 PCT IN 1986",,0,Neutral
1448,"OMAHA CATTLE UP 0.50 DLR - USDA",,0,Neutral
1449,"MELRIDGE &lt;BULB> UNIT IN REAL ESTATE AGREEMENT",agreement,1,Positive
1450,"PHOTRONICS CORP &lt;PHOT> YEAR FEB 28 NET",,0,Neutral
1451,"MIDWAY AIRLINES &lt;MDWY> MARCH LOAD FACTOR FALLS",falls,-1,Negative
1452,"OCEAN BIO-CHEM INC &lt;OBCI> YEAR NET",,0,Neutral
1453,"LOWE'S &lt;LOW> TO SELL DURAKON &lt;DRKN> LINER",,0,Neutral
1454,"FEDERAL RESOURCES &lt;FDRC> NAMES NEW PRESIDENT",,0,Neutral
1455,"WALKER TELECOMMUNICATIONS &lt;WTEL> GETS CONTRACT",,0,Neutral
1456,"AIDC ISSUES AUSTRALIAN DOLLAR ZERO COUPON EUROBOND",issues,-1,Negative
1457,"TELE-COMMUNICATIONS &lt;TCOMA> SELLS CABLE SYSTEMS",,0,Neutral
1458,"SWEDISH FINANCE FIRMS SEEN HIT BY DEREGULATION",,0,Neutral
1459,"WALL STREET STOCKS HIGHER IN LATE MORNING",,0,Neutral
1460,"ENVIRONMENTAL POWER CORP &lt;POWR> YEAR NET",,0,Neutral
1461,"SWEDISH INDUSTRY SEES HIGHER 1987 PRODUCTION",,0,Neutral
1462,"U.S. ENERGY FUTURES STEADY BUT QUIET",quiet, steady,2,Positive
1463,"GERMAN LONG-TERM CAPITAL INFLOW SLUMPS IN FEBRUARY",,0,Neutral
1464,"BRITISH TELECOM, NTT SIGN COOPERATION AGREEMENT",agreement,1,Positive
1465,"SIOUX CITY CATTLE UP 0.50/1.00 DLR - USDA",,0,Neutral
1466,"N.Y. COTTON FUTURES STEADY IN EARLY TRADING",steady,1,Positive
1467,"SIOUX CITY HOGS STEADY/UP 1.25 DLR - USDA",hogs, steady,0,Neutral
1468,"MIDWEST GRAIN FUTURES 11:31 EDT",,0,Neutral
1469,"EC SOURCES SAY UK WHEAT PLAN YET TO BE APPROVED",,0,Neutral
1470,"BROKERAGE FIRM UPS STAKE IN ALLEGHENY &lt;AG>",,0,Neutral
1471,"U.K. GRAIN FUTURES CLOSE STEADY TO FIRMER",firmer, steady,2,Positive
1472,"KANSAS CITY SHIPMENTS AND RECEIPTS",,0,Neutral
1473,"STONE &lt;STO> FILES FOR SECONDARY OFFERING",,0,Neutral
1474,"LME METAL PM 2ND RING VOLUMES/PAIDS - APR 7",,0,Neutral
1475,"SPOT LARD, TALLOW, GREASE STEADY",steady,1,Positive
1476,"BOEING PROPOSES WESTLAND DEAL",,0,Neutral
1477,"ENVIRONMENTAL POWER &lt;POWR> GETS CONTRACTS",,0,Neutral
1478,"LONE STAR &lt;LCE> SEES FLAT U.S. CEMENT DEMAND",lone,-1,Negative
1479,"U.S. ALUMINUM STOCKS HIGHER IN DECEMBER - ABMS",,0,Neutral
1480,"MALTA TENDERS FOR WHITE SUGAR TODAY - TRADE",,0,Neutral
1481,"CALTON &lt;CN> OFFERING DECLARED EFFECTIVE",effective,1,Positive
1482,"CHILI'S &lt;CHLI> FILES FOR CONVERTIBLE DEBENTURES",,0,Neutral
1483,"GOTTHARD BANK SELLS WARRANTS INTO DAINIPPON INK",,0,Neutral
1484,"FED SETS TWO-DAY SYSTEM REPURCHASES, FED SAYS",,0,Neutral
1485,"ALIAS RESEARCH IN CAPITAL JOINT VENTURE",,0,Neutral
1486,"EMERY AIR &lt;EAF> MARCH SHIPMENTS RISE",,0,Neutral
1487,"CORROON AND BLACK &lt;CBL> COMPLETE ACQUISITION",,0,Neutral
1488,"COLONIAL &lt;CLBGA> TO ACQUIRE PENSACOLA BANK",,0,Neutral
1489,"KANSAS CITY WHEAT MARGINALLY FIRMER AT MIDDAY",firmer, marginally,0,Neutral
1490,"MIDWEST GRAIN FUTURES 11:40 EDT",,0,Neutral
1491,"ST JOSEPH HOGS UP 1.00/1.50 DLR - USDA",hogs,-1,Negative
1492,"Ia-So Minn direct hogs estimated rcpts 80,000 vs actual week ago 85,000 and actual year ago 72,000.",hogs,-1,Negative
1493,"OHIO DIRECT HOGS UP 1.00 DLR - USDA",hogs,-1,Negative
1494,"ONTARIO TREASURY BILL YIELD RISES",,0,Neutral
1495,"UNIVERSITY &lt;UPT> REPORTS MARCH LENS SALE",,0,Neutral
1496,"SUPER RITE FOODS INC &lt;SRFI> SETS QTRLY PAYOUT",super,1,Positive
1497,"KANSAS CITY HOGS UP 1.50 DLR - USDA",hogs,-1,Negative
1498,"MILTON ROY CO &lt;MRC> SETS QUARTERLY",,0,Neutral
1499,"JOLIET HOGS UP 1.00 DLR - USDA",hogs,-1,Negative
1500,"INDIANA DIRECT HOGS UP 1.00/1.50 DLR - USDA",hogs,-1,Negative
1501,"DELTA AIR &lt;DAL> TO EXPAND PASSENGER TERMINAL",,0,Neutral
1502,"DOLLAR STEADY IN LATE PARIS TRADING",steady,1,Positive
1503,"GOLDSIL AND GOLDEN RULE AGREE TO MERGE",golden,1,Positive
1504,"FED SETS TWO-DAY SYSTEM REPURCHASES",,0,Neutral
1505,"COLONIAL BANCGROUP INC &lt;CLBGA> 1ST QTR NET",,0,Neutral
1506,"Dresdner to propose 1986 dividend 10 marks vs same, one-for-18 bonus share issue",issue, bonus,0,Neutral
1507,"LONDON OILS/SEEDS CLOSE QUIETLY MIXED",,0,Neutral
1508,"WALL STREET STOCKS/AUTOMAKERS",,0,Neutral
1509,"ST PAUL CATTLE UP 1.00/1.50 DLR - USDA",,0,Neutral
1510,"ST PAUL HOGS UP 1.00/2.00 DLRS - USDA",hogs,-1,Negative
1511,"EUROPEAN SOY/FEED AFTERNOON GENERALLY ACTIVE",,0,Neutral
1512,"CASH SOYMEAL BASIS STEADY IN INCREASED TRADE",steady,1,Positive
1513,"MIDWEST GRAIN FUTURES 11:50 EDT",,0,Neutral
1514,"BROWNING-FERRIS &lt;BFI> UNIT SEEKS WASTE PERMIT",waste,-1,Negative
1515,"LONDON SOYMEAL FUTURES CLOSE QUIETLY MIXED",,0,Neutral
1516,"WHITE HOUSE SAYS A.I.D. CHIEF PETER MCPHERSON TO BE DEPUTY TREASURY SECRETARY",,0,Neutral
1517,"JAPAN CUTS CHIP SUPPLY, MAY PRODUCE SHORTAGE",shortage,-1,Negative
1518,"SENIOR TREASURY AIDE SAYS PARIS PACT TO BE REVIEWED, U.S. THINKS IT SUCCESSFUL",successful,1,Positive
1519,"INVESTORS RAISE STAKE IN PUROLATOR &lt;PCC>",,0,Neutral
1520,"SENIOR U.S. AIDE SAYS NO CONSENSUS YET ON PARIS CLUB RELIEF FOR POOREST NATIONS",poorest, relief,0,Neutral
1521,"LONDON COCOA GRADINGS/TENDERS - APR 7",,0,Neutral
1522,"LONDON COFFEE GRADINGS/TENDERS AFTERNOON - APR 7",,0,Neutral
1523,"DUTCH MONEY MARKET DEBT RISES IN WEEK",debt,-1,Negative
1524,"INTERNATIONAL BOND HIGHLIGHTS - APRIL 7",,0,Neutral
1525,"SENATE FARM LEADER URGES HELP FOR RURAL AMERICA",,0,Neutral
1526,"KUWAIT ASKS TO USE FOREIGN FLAG TANKERS, U.S SAYS",,0,Neutral
1527,"U.S. GRAIN CERTS SAVE 50-100 MLN DLRS - AMSTUTZ",,0,Neutral
1528,"GM &lt;GM> SHIFTS LATIN AMERICAN, ASIA OFFICERS",,0,Neutral
1529,"VOLCKER SAYS FED POLICY NOT RESPONSIBLE FOR PRIME RATE RISE",,0,Neutral
1530,"LONDON EURODOLLAR DEPOSITS CLOSE QUIETLY STEADY",steady,1,Positive
1531,"U.S. URGES SURPLUS NATIONS TO BOOST GROWTH",boost,1,Positive
1532,"REUTER COMMODITIES NEWS HIGHLIGHTS 1600 GMT - APRIL 7",,0,Neutral
1533,"MIDWEST GRAIN FUTURES 12:00 EDT",,0,Neutral
1534,"CBT CORN SPREADS",,0,Neutral
1535,"MIDWEST GRAIN FUTURES 12:01 EDT",,0,Neutral
1536,"CBT SOYBEAN SPREADS",,0,Neutral
1537,"CBT SOYBEAN OIL SPREADS",,0,Neutral
1538,"LONDON GOLD CLOSES OFF LOWS",gold,1,Positive
1539,"CBT CORN FUTURES HOLD GAINS AT MIDSESSION",gains,1,Positive
1540,"CBT SOYBEAN MEAL SPREADS",,0,Neutral
1541,"CASH PORK CALLED MIXED, BEEF HIGHER",,0,Neutral
1542,"GANDALF &lt;GANDF>, BRITISH TELECOM IN AGREEMENT",agreement,1,Positive
1543,"MANHATTAN NATIONAL &lt;MLC> NAMES NEW CHAIRMAN",,0,Neutral
1544,"ACME PRECISION &lt;ACL> SETS HOLDER VOTE ON BUYOUT",,0,Neutral
1545,"UAL &lt;UAL> AIRLINE PILOTS HOLDING NATIONAL MEETING",,0,Neutral
1546,"NATIONAL GYPSUM DEBT UPGRADED BY MOODY'S",upgraded, moody, debt,-1,Negative
1547,"NYNEX &lt;NYN> TO HIRE TEMPORARY WORK FORCE",work,1,Positive
1548,"ERICSSON &lt;ERICY> GETS U S WEST &lt;USW> ORDER",,0,Neutral
1549,"MINNEAPOLIS SPRING WHEAT MOSTLY UP AT MIDDAY",,0,Neutral
1550,"MIDWEST GRAIN FUTURES 12:10 EDT",,0,Neutral
1551,"VOLCKER SAYS FED POLICY NOT LINKED TO RATE RISE",,0,Neutral
1552,"MIDDAY WINNIPEG OILSEEDS HIGHER",,0,Neutral
1553,"SCRAP COPPER QUOTED AT NOMINAL 51.50 CENTS",scrap,-1,Negative
1554,"LONDON COMMODITY EXCHANGE VOLUME STEADY - ICCH",steady,1,Positive
1555,"BANK OF ENGLAND EFFECTIVE INDEX SHOWS DOLLAR AT 101.6",effective,1,Positive
1556,"INTERNATIONAL CREDIT HIGHLIGHTS - APRIL 7",,0,Neutral
1557,"CANADA STOCKS HIGHER AT MIDSESSION",,0,Neutral
1558,"AEGON ISSUES 200 MLN GUILDER BONDS WITH WARRANTS",issues,-1,Negative
1559,"OMAHA HOGS UP 1.00 DLR - USDA",hogs,-1,Negative
1560,"WEIS MARKETS &lt;WMK> IN THREE FOR TWO STOCK SPLIT",split,-1,Negative
1561,"RAYTHEON &lt;RTN> RECEIVES 37.5 MLN DLR CONTRACT",,0,Neutral
1562,"LORIMAR &lt;LT> GETS OUTBOARD MARINE &lt;OMC> PACT",,0,Neutral
1563,"MCCORMICK CAPITAL &lt;MKOR> 1986 YEAR NET",,0,Neutral
1564,"N.Y. FCOJ FUTURES SURGE, OFF HIGHS MIDDAY",,0,Neutral
1565,"LONDON SUGAR RALLIES FROM LOWS BY LATE AFTERNOON",,0,Neutral
1566,"PLEXUS &lt;PLUSF> SETS EQUITY FINANCING",,0,Neutral
1567,"LIVE CATTLE FUTURES MIXED AT MIDSESSION",,0,Neutral
1568,"U.S. SAYS NO PACT ON RELIEF FOR POOREST STATES",poorest, relief,0,Neutral
1569,"LOUISVILLE FEEDERS STEADY/UP 1.00 DLR - USDA",steady,1,Positive
1570,"U.S. MINT SEEKING OFFERS ON COPPER, NICKEL",,0,Neutral
1571,"FAMILY HEALTH SYSTEMS &lt;FHSY> TO MAKE PURCHASE",,0,Neutral
1572,"EC SUGAR IMPORT LEVIES",,0,Neutral
1573,"OLD FASHION FOODS INC &lt;OFFI> 3RD QTR FEB 28 NET",,0,Neutral
1574,"CBT WHEAT FUTURES EASE TO MIXED BY MIDSESSION",ease,1,Positive
1575,"LME COPPER CLOSES AFTER RETREAT FROM EARLIER HIGHS",retreat,-1,Negative
1576,"MOTOROLA &lt;MOT> SELECTS SYSTEM COMPILERS",,0,Neutral
1577,"MIDWEST GRAIN FUTURES 12:20 EDT",,0,Neutral
1578,"MIDSESSION FEEDER CATTLE FUTURES MIXED",,0,Neutral
1579,"CONSOLIDATED-BATHURST SEES BETTER MARKET",better,1,Positive
1580,"LONDON COFFEE CLOSES FIRMER IN DULL TRADING",firmer, dull,0,Neutral
1581,"LONDON EXCHANGES - SDR CALCULATION",,0,Neutral
1582,"MORE U.S. GRAIN CERTIFICATES NEEDED, STUDY SAYS",,0,Neutral
1583,"CUMMINS ENGINE &lt;CUM> SEES IMPROVED EARNINGS",improved,1,Positive
1584,"NORTH-WEST TELECOM &lt;NOWT> MAKES ACQUISITION",,0,Neutral
1585,"MILTON ROY CO &lt;MRC> SETS REGULAR DIVIDEND",,0,Neutral
1586,"LIVE HOG FUTURES UP FURTHER AT MIDSESSION",,0,Neutral
1587,"LONDON GASOIL CALL COMPLETE 1723 - APR 7",,0,Neutral
1588,"bBANK OF CANADA DOLLAR STERLING RATES",,0,Neutral
1589,"OKLAHOMA CITY FEEDERS STEADY - USDA",steady,1,Positive
1590,"OHIO MATTRESS CO &lt;OMT> 1ST QTR FEB 28 NET",,0,Neutral
1591,"MOODY'S MAY UPGRADE PUBLIC SERVICE INDIANA'S 1.1 BILLION DLRS OF DEBT",moody, debt,-2,Negative
1592,"WORLD SUGAR FUTURES PARE LOSSES BY MIDSESSION",losses,-1,Negative
1593,"ITALIAN BANK DEPOSIT GUARANTEE FUND APPROVED",guarantee,1,Positive
1594,"COMPUTER NETWORK&lt;CMNT> MAKES SIX INSTALLATIONS",,0,Neutral
1595,"LME NICKEL CLOSE SLIPS TO DAY'S LOW",,0,Neutral
1596,"CBT SOYBEAN FUTURES MOSTLY HIGHER AT MIDSESSION",,0,Neutral
1597,"YUGOSLAVIA DISCUSSES COMMERCIAL DEBT REFINANCING",debt,-1,Negative
1598,"LME LEAD CLOSES FIRMER",firmer, lead,2,Positive
1599,"LONDON SUGAR NO.6 AT 1730 - APR 7",,0,Neutral
1600,"BOESKY AIDE DAVIDOFF CONSENTS TO SEC PENALTIES; AGREES TO HELP INVESTIGATION",,0,Neutral
1601,"USSR CROP WEATHER SUMMARY -- USDA/NOAA",,0,Neutral
1602,"DOLLAR SLIGHTLY LOWER AT NEW YORK MIDSESSION",,0,Neutral
1603,"LONDON COCOA CLOSES NARROWLY MIXED",,0,Neutral
1604,"SIOUX FALLS HOGS UP 1.50/1.75 DLR - USDA",falls, hogs,-2,Negative
1605,"MIDWEST GRAIN FUTURES 12:30 EDT",,0,Neutral
1606,"U.S. HOUSE LEADER THINKS TAX HIKE WILL PASS",,0,Neutral
1607,"WALL STREET STOCKS HIGHER AT MIDSESSION",,0,Neutral
1608,"U.S. WEATHER/COTTON SUMMARY -- USDA/NOAA",,0,Neutral
1609,"COMEX SILVER FUTURES HOLD GAINS AT MIDDAY",gains,1,Positive
1610,"PORK BELLY FUTURES HIGHER AT MIDSESSION",,0,Neutral
1611,"DOLLAR STEADY IN EUROPE AHEAD OF WASHINGTON TALKS",steady,1,Positive
1612,"U.S. GOLD FUTURES HOLD PARED GAINS AT MIDSESSION",gold, gains,2,Positive
1613,"DALTEX &lt;DLTX> ASSIGNED PATENT FOR SKIN THERAPY",,0,Neutral
1614,"GRAIN SHIPS WAITING AT NEW ORLEANS",,0,Neutral
1615,"CBT SOYPRODUCT FUTURES HIGHER AT MIDSESSION",,0,Neutral
1616,"CASH WHOLESALE BEEF PRICES",,0,Neutral
1617,"LME ZINC CLOSES STEADY AT LOWER LEVELS",steady,1,Positive
1618,"U.S. SAYS NO PACT ON RELIEF FOR POOREST STATES",poorest, relief,0,Neutral
1619,"BIFFEX FALLS FURTHER BY CLOSE",falls,-1,Negative
1620,"MIDWEST GRAIN FUTURES 12:40 EDT",,0,Neutral
1621,"WEST FARGO CATTLE UP 2.00 DLRS - USDA",,0,Neutral
1622,"CASH WHOLESALE PORK PRICES",,0,Neutral
1623,"CASH GRAIN SORGHUM PRICES",,0,Neutral
1624,"COCOA/COFFEE/SUGAR TRADE NEWS/MARKET COMMENT",,0,Neutral
1625,"N.Y. PLATINUM FUTURES HIGHER AT MIDSESSION",,0,Neutral
1626,"BOESKY AIDE AGREES TO STOCK TRADING PENALTIES",,0,Neutral
1627,"GENERAL PARTNERS IS TERMINATING OFFER FOR GENCORP INC",,0,Neutral
1628,"TX/W OKLA FEEDLOT CATTLE STDY/UP 0.50 DLR-USDA",,0,Neutral
1629,"MIYAZAWA LEAVES HOTEL FOR MEETING WITH BAKER AT TREASURY, JAPANESE OFFICIALS SAY",,0,Neutral
1630,"U.S. LIVESTOCK STRESSED BY WEATHER--USDA/NOAA",,0,Neutral
1631,"BURLINGTON NORTHERN INC 1ST QTR SHR PROFIT 93 CTS VS LOSS 3.55 DLRS",loss,-1,Negative
1632,"IOWA GRAIN ELEVATOR EXPLODES, BURNS",burns,-1,Negative
1633,"U.S. CREDIT MARKETS MIXED AT MIDSESSION",,0,Neutral
1634,"MIDWEST GRAIN FUTURES 12:50 EDT",,0,Neutral
1635,"ARTISTIC GREETINGS &lt;ARTG> SEES RECOVERY IN NET",recovery,1,Positive
1636,"PARTNERSHIP BUYS 5.1 PCT ORANGE-CO &lt;OJ> STAKE",,0,Neutral
1637,"COOPERATIVE ENERGY TESTS OIL AT TWO WELLS",cooperative,1,Positive
1638,"AVINDA DEBENTURES CONVERTED TO COMMON SHARES",,0,Neutral
1639,"COMEX COPPER FUTURES DROP LATE, SETTLE LOWER",,0,Neutral
1640,"MAY&lt;MA> NAMES CHAIRMAN FOR L.S. AYRES DIVISION",,0,Neutral
1641,"DOW &lt;DOW> UNIT GETS FDA REVERSE OSMOSIS PERMIT",,0,Neutral
1642,"CUMMINS ENGINE CO INC &lt;CUM> SETS PAYOUT",,0,Neutral
1643,"LIVE HOG FUTURES TRIM SHARP GAINS AT CLOSE",gains, sharp,2,Positive
1644,"CBT SOYBEAN FUTURES CLOSE STRONG IN NEW CROP",strong,1,Positive
1645,"PHILADELPHIA ELECTRIC &lt;PE> REPLACES ENGINEER",,0,Neutral
1646,"KANSAS CITY WHEAT LOSES EARLY GAINS, ENDS LOWER",loses, gains,0,Neutral
1647,"MOODY'S DOWNGRADES 1.8 BILLION DLRS OF DEERE, RELATED DEBT",moody, debt,-2,Negative
1648,"CANADA LAWMAKERS URGE EXEMPTION FROM U.S. BILL",,0,Neutral
1649,"CENTRAL BANCSHARES &lt;CBSS> 1ST QTR NET",,0,Neutral
1650,"U.S. CERTIFIED COFFEE STOCKS DOWN IN LATEST WEEK",,0,Neutral
1651,"REUTER WORLD NEWS HIGHLIGHTS 1800 GMT APRIL 7",,0,Neutral
1652,"TEXTRON &lt;TXT> PLANS SALE OF AVCO DIVISION",,0,Neutral
1653,"N.Y. PLATINUM FUTURES FINISH HIGHER",,0,Neutral
1654,"GREEN TREE ACCEPTANCE INC &lt;GNT> 1ST QTR NET",,0,Neutral
1655,"MINNEAPOLIS WHEAT PROTEIN SCALES",,0,Neutral
1656,"U.S. IMMIGRATION RULES SPARK CONGRESS OBJECTIONS",objections,-1,Negative
1657,"JAMESWAY &lt;JMY> SEES YEAR SALES AT 700 MLN DLRS",,0,Neutral
1658,"BANK SEES STRONG DEMAND FOR BTP PRIVATISATION OFFER",strong,1,Positive
1659,"CHICAGO BOARD OF TRADE DELIVERABLE GRAIN STOCKS",,0,Neutral
1660,"CUBA CRUDE SUGAR HARVEST FAR BEHIND SCHEDULE",crude,-1,Negative
1661,"ATT &lt;T> GETS GEORGIA RATE REDUCTION APPROVAL",approval,1,Positive
1662,"CHICAGO DELIVERABLE WHEAT STOCKS",,0,Neutral
1663,"CBT CORN FUTURES CLOSE HIGHER ON FIRM NOTE",,0,Neutral
1664,"CHICAGO DELIVERABLE SOYBEAN STOCKS",,0,Neutral
1665,"MINNEAPOLIS SPRING WHEAT CLOSES HIGHER",,0,Neutral
1666,"DELIVERABLE GRADE GUIDE",,0,Neutral
1667,"MINNEAPOLIS DELIVERABLE OAT STOCKS",,0,Neutral
1668,"PORK BELLY FUTURES CLOSE MIXED",,0,Neutral
1669,"COMEX SILVER FUTURES CLOSE ON HIGHS",,0,Neutral
1670,"TOLEDO DELIVERABLE WHEAT STOCKS",,0,Neutral
1671,"WORLD SUGAR FUTURES RALLY LATE, SETTLE HIGHER",,0,Neutral
1672,"TOLEDO DELIVERABLE CORN STOCKS",,0,Neutral
1673,"LUMBER FUTURES TRIM LOSSES AT CLOSE",losses,-1,Negative
1674,"CHASE MANHATTAN TO CLOSE PERU CONSUMER OPERATION",,0,Neutral
1675,"ST LOUIS DELIVERABLE CORN STOCKS",,0,Neutral
1676,"TOLEDO DELIVERABLE SOYBEAN STOCKS",,0,Neutral
1677,"AVON SAYS IT TO BUY GIORGIO INC, A FRAGRANCE COMPANY, FOR 185 MLN DLRS",,0,Neutral
1678,"CANADIAN METALS - April 7",,0,Neutral
1679,"COMEX ALUMINUM FUTURES SETTLE UNCHANGED",,0,Neutral
1680,"KANSAS CITY DELIVERABLE GRAIN STOCKS",,0,Neutral
1681,"TWA SAYS MARCH SYSTEM LOAD FACTOR RISES TO 67.4 PCT FROM 60.4 PCT A YEAR AGO",,0,Neutral
1682,"MAGMA LOWERS COPPER PRICE 0.50 CT TO 65.50 CTS",,0,Neutral
1683,"MINNEAPOLIS DELIVERABLE SPRING WHEAT STOCKS",,0,Neutral
1684,"YEUTTER WARNS CONGRESS ON TRADE RETALIATION",,0,Neutral
1685,"JEUMONT-SCHNEIDER SETS UP CANADIAN SUBSIDIARY",,0,Neutral
1686,"U.S. GOLD FUTURES END STRONGER, NEAR DAY'S HIGHS",gold, stronger,2,Positive
